data_amostragem,ph,turbidez,oxigenio_dissolvido,temperatura,qualidade,tipo
2025-05-10 00:00:00,7.46,1.45,8.04,20.7,Ruim,agua
2025-05-10 06:00:00,6.92,1.16,9.45,23.8,Boa,agua
2025-05-10 12:00:00,6.79,1.74,8.28,21.2,Boa,agua
2025-05-10 18:00:00,7.78,1.34,8.0,21.8,Moderada,agua
2025-05-11 00:00:00,7.82,2.31,9.79,21.9,Boa,agua
2025-05-11 06:00:00,6.92,4.88,6.37,23.5,Moderada,agua
2025-05-11 12:00:00,6.54,0.66,6.86,21.4,Moderada,agua
2025-05-11 18:00:00,7.41,2.88,8.84,22.3,Moderada,agua
2025-05-12 00:00:00,6.54,4.26,6.54,20.9,Moderada,agua
2025-05-12 06:00:00,8.18,2.13,9.14,26.2,Boa,agua
2025-05-12 12:00:00,7.89,4.03,6.44,20.4,Moderada,agua
2025-05-12 18:00:00,7.67,2.98,8.28,25.9,Moderada,agua
2025-05-13 00:00:00,7.85,3.82,6.87,26.6,Boa,agua
2025-05-13 06:00:00,7.4,1.36,9.74,25.4,Boa,agua
2025-05-13 12:00:00,7.74,3.5,7.59,27.4,Moderada,agua
2025-05-13 18:00:00,7.28,0.71,7.47,27.5,Moderada,agua
2025-05-14 00:00:00,7.82,3.29,8.93,26.1,Moderada,agua
2025-05-14 06:00:00,7.26,2.32,7.62,26.2,Ruim,agua
2025-05-14 12:00:00,7.18,1.04,7.59,24.6,Ruim,agua
