data_amostragem,ph,turbidez,oxigenio_dissolvido,temperatura,qualidade,tipo
2025-01-01 00:00:00,7.18,4.34,8.45,17.1,Moderada,agua
2025-01-02 00:00:00,6.52,3.61,7.93,25.4,Moderada,agua
2025-01-03 00:00:00,8.2,4.9,7.34,17.9,Ruim,agua
2025-01-04 00:00:00,7.54,0.54,6.37,17.0,Moderada,agua
2025-01-05 00:00:00,8.07,1.1,9.4,20.6,Ruim,agua
2025-01-06 00:00:00,7.42,1.29,7.4,21.5,Boa,agua
2025-01-07 00:00:00,8.14,1.82,8.51,15.8,Ruim,agua
2025-01-08 00:00:00,7.14,1.27,5.79,22.0,Ruim,agua
2025-01-09 00:00:00,6.05,0.66,6.73,19.2,Ruim,agua
2025-01-10 00:00:00,6.29,4.97,5.29,18.7,Ruim,agua
2025-01-11 00:00:00,8.43,2.14,6.86,18.6,Ruim,agua
2025-01-12 00:00:00,6.6,2.68,8.6,26.1,Moderada,agua
2025-01-13 00:00:00,6.32,3.59,8.29,17.8,Ruim,agua
2025-01-14 00:00:00,8.12,3.4,7.5,21.7,Ruim,agua
2025-01-15 00:00:00,6.65,2.0,6.92,26.2,Moderada,agua
2025-01-16 00:00:00,7.2,0.91,9.96,29.5,Moderada,agua
2025-01-17 00:00:00,6.33,4.39,7.57,21.6,Ruim,agua
2025-01-18 00:00:00,7.89,4.62,5.31,28.0,Ruim,agua
2025-01-19 00:00:00,7.83,3.79,8.22,18.6,Moderada,agua
2025-01-20 00:00:00,6.66,3.97,5.97,28.5,Ruim,agua
2025-01-21 00:00:00,8.3,1.78,6.26,28.9,Ruim,agua
2025-01-22 00:00:00,7.82,2.01,8.24,16.5,Moderada,agua
2025-01-23 00:00:00,8.27,1.56,9.79,19.1,Ruim,agua
2025-01-24 00:00:00,7.24,4.32,9.93,22.4,Moderada,agua
2025-01-25 00:00:00,6.31,1.5,8.07,28.5,Ruim,agua
2025-01-26 00:00:00,7.93,3.57,8.27,15.9,Moderada,agua
2025-01-27 00:00:00,7.51,3.66,5.22,19.3,Ruim,agua
2025-01-28 00:00:00,6.07,1.78,9.98,15.2,Ruim,agua
2025-01-29 00:00:00,6.96,1.26,8.17,28.3,Boa,agua
2025-01-30 00:00:00,7.16,3.68,7.56,19.4,Moderada,agua
2025-01-31 00:00:00,8.42,2.65,8.41,17.0,Ruim,agua
