data_amostragem,co2,pm25,pm10,o3,temperatura,umidade,qualidade,tipo
2025-05-10 00:00:00,448.2,10.3,28.6,0.064,24.6,43.4,Boa,ar
2025-05-10 06:00:00,538.7,16.7,27.2,0.05,24.8,55.2,Moderada,ar
2025-05-10 12:00:00,588.6,26.4,72.1,0.02,26.8,49.3,Ruim,ar
2025-05-10 18:00:00,545.1,16.2,13.9,0.026,23.3,68.1,Boa,ar
2025-05-11 00:00:00,506.2,13.5,37.7,0.015,22.7,60.4,Boa,ar
2025-05-11 06:00:00,580.3,29.3,52.0,0.012,28.7,42.1,Boa,ar
2025-05-11 12:00:00,521.7,21.3,12.1,0.01,25.1,57.9,Ruim,ar
2025-05-11 18:00:00,479.5,24.9,13.7,0.06,23.3,51.7,Boa,ar
2025-05-12 00:00:00,474.4,7.0,21.2,0.029,29.4,47.2,Boa,ar
2025-05-12 06:00:00,498.7,34.4,44.4,0.062,25.9,66.6,Moderada,ar
2025-05-12 12:00:00,407.9,7.0,20.7,0.015,22.3,46.9,Boa,ar
2025-05-12 18:00:00,451.3,18.9,52.5,0.074,25.9,50.3,Ruim,ar
2025-05-13 00:00:00,518.2,22.5,53.3,0.084,25.1,54.1,Moderada,ar
2025-05-13 06:00:00,482.4,17.1,59.1,0.088,23.8,54.4,Boa,ar
2025-05-13 12:00:00,454.1,12.1,66.8,0.031,25.9,55.5,Moderada,ar
2025-05-13 18:00:00,546.9,8.8,54.3,0.093,22.4,54.6,Moderada,ar
2025-05-14 00:00:00,452.4,26.6,71.4,0.011,23.4,75.1,Moderada,ar
