data_amostragem,co2,pm25,pm10,o3,temperatura,umidade,qualidade,tipo
2025-01-01 00:00:00,501.1,32.7,48.7,0.109,23.3,45.9,Ruim,ar
2025-01-02 00:00:00,516.5,21.7,32.1,0.019,15.4,57.5,Ruim,ar
2025-01-03 00:00:00,476.0,38.2,64.6,0.029,34.0,61.2,Ruim,ar
2025-01-04 00:00:00,445.6,11.2,38.2,0.099,31.5,85.4,Ruim,ar
2025-01-05 00:00:00,430.4,6.7,75.6,0.118,25.6,66.1,Ruim,ar
2025-01-06 00:00:00,513.7,24.9,47.9,0.069,33.7,57.2,Ruim,ar
2025-01-07 00:00:00,534.4,28.9,76.9,0.01,22.8,55.4,Ruim,ar
2025-01-08 00:00:00,455.4,25.8,79.7,0.094,33.7,56.6,Ruim,ar
2025-01-09 00:00:00,360.9,10.9,11.8,0.08,28.6,38.2,Moderada,ar
2025-01-10 00:00:00,567.6,6.7,49.1,0.034,16.6,54.3,Ruim,ar
2025-01-11 00:00:00,561.6,15.8,63.2,0.115,26.5,45.8,Ruim,ar
2025-01-12 00:00:00,503.2,12.8,30.9,0.081,17.1,30.8,Ruim,ar
2025-01-13 00:00:00,580.7,48.7,48.8,0.111,18.7,78.0,Ruim,ar
2025-01-14 00:00:00,475.6,38.9,19.6,0.056,24.6,43.1,Ruim,ar
2025-01-15 00:00:00,370.4,17.2,61.8,0.087,28.2,52.5,Ruim,ar
2025-01-16 00:00:00,556.2,48.8,46.5,0.021,22.8,43.9,Ruim,ar
2025-01-17 00:00:00,554.2,43.0,49.1,0.074,15.8,66.1,Ruim,ar
2025-01-18 00:00:00,388.5,40.7,22.3,0.071,32.1,62.7,Ruim,ar
2025-01-19 00:00:00,414.9,42.1,96.2,0.116,25.4,46.1,Ruim,ar
2025-01-20 00:00:00,401.8,28.3,31.5,0.106,19.9,65.4,Ruim,ar
2025-01-21 00:00:00,383.4,15.0,97.2,0.074,22.6,75.2,Ruim,ar
2025-01-22 00:00:00,441.9,48.8,32.3,0.051,30.1,77.9,Ruim,ar
2025-01-23 00:00:00,359.8,36.7,45.4,0.049,23.2,44.1,Ruim,ar
2025-01-24 00:00:00,547.8,35.5,42.2,0.143,19.0,70.1,Ruim,ar
2025-01-25 00:00:00,598.8,23.8,84.0,0.044,31.3,73.8,Ruim,ar
2025-01-26 00:00:00,547.6,10.4,24.2,0.112,20.7,77.3,Ruim,ar
2025-01-27 00:00:00,531.6,26.6,26.0,0.097,17.0,63.4,Ruim,ar
2025-01-28 00:00:00,422.0,45.2,47.4,0.1,29.0,37.9,Ruim,ar
2025-01-29 00:00:00,589.4,15.1,14.8,0.142,20.7,31.7,Ruim,ar
2025-01-30 00:00:00,460.9,39.4,18.4,0.08,31.5,31.5,Ruim,ar
2025-01-31 00:00:00,542.2,20.4,24.1,0.082,18.3,35.8,Ruim,ar
