data_amostragem,ph,turbidez,oxigenio_dissolvido,temperatura,qualidade,tipo
2025-05-10 00:00:00,7.46,1.45,8.04,20.7,Ruim,agua
2025-05-10 06:00:00,6.92,1.16,9.45,23.8,Boa,agua
2025-05-10 12:00:00,6.79,1.74,8.28,21.2,Boa,agua
2025-05-10 18:00:00,7.78,1.34,8.0,21.8,Moderada,agua
2025-05-11 00:00:00,7.82,2.31,9.79,21.9,Boa,agua
2025-05-11 06:00:00,6.92,4.88,6.37,23.5,Moderada,agua
2025-05-11 12:00:00,6.54,0.66,6.86,21.4,Moderada,agua
2025-05-11 18:00:00,7.41,2.88,8.84,22.3,Moderada,agua
2025-05-12 00:00:00,6.54,4.26,6.54,20.9,Moderada,agua
2025-05-12 06:00:00,8.18,2.13,9.14,26.2,Boa,agua
2025-05-12 12:00:00,7.89,4.03,6.44,20.4,Moderada,agua
2025-05-12 18:00:00,7.67,2.98,8.28,25.9,Moderada,agua
2025-05-13 00:00:00,7.85,3.82,6.87,26.6,Boa,agua
2025-05-13 06:00:00,7.4,1.36,9.74,25.4,Boa,agua
2025-05-13 12:00:00,7.74,3.5,7.59,27.4,Moderada,agua
2025-05-13 18:00:00,7.28,0.71,7.47,27.5,Moderada,agua
2025-05-14 00:00:00,7.82,3.29,8.93,26.1,Moderada,agua
2025-05-14 06:00:00,7.26,2.32,7.62,26.2,Ruim,agua
2025-05-14 12:00:00,7.18,1.04,7.59,24.6,Ruim,agua
2025-05-14 18:00:00,6.61,1.02,8.56,20.1,Moderada,agua
2025-05-15 00:00:00,7.12,2.54,8.39,20.1,Ruim,agua
2025-05-15 06:00:00,7.39,2.2,9.27,23.0,Moderada,agua
2025-05-15 12:00:00,7.79,2.61,8.33,26.7,Boa,agua
2025-05-15 18:00:00,6.6,1.38,9.86,22.1,Ruim,agua
2025-05-16 00:00:00,8.14,3.62,8.8,20.2,Ruim,agua
2025-05-16 06:00:00,8.4,2.06,6.79,23.0,Boa,agua
2025-05-16 12:00:00,8.32,1.78,7.25,22.2,Boa,agua
2025-05-16 18:00:00,7.11,2.58,8.86,23.4,Boa,agua
2025-05-17 00:00:00,7.62,2.03,9.93,20.3,Ruim,agua
2025-05-17 06:00:00,8.15,4.65,6.74,23.7,Boa,agua
2025-05-17 12:00:00,7.74,2.51,8.15,25.0,Moderada,agua
2025-05-17 18:00:00,8.18,2.65,7.77,22.8,Moderada,agua
2025-05-18 00:00:00,7.9,3.81,6.85,26.6,Ruim,agua
2025-05-18 06:00:00,7.65,1.68,9.03,20.6,Moderada,agua
2025-05-18 12:00:00,6.83,1.69,9.29,23.2,Moderada,agua
2025-05-18 18:00:00,7.93,3.11,9.48,20.2,Ruim,agua
2025-05-19 00:00:00,7.35,2.11,6.58,21.2,Ruim,agua
2025-05-19 06:00:00,7.8,3.42,7.31,24.7,Ruim,agua
2025-05-19 12:00:00,6.69,3.73,7.83,26.8,Moderada,agua
2025-05-19 18:00:00,7.94,4.48,7.07,21.7,Ruim,agua
2025-05-20 00:00:00,6.99,3.81,7.6,23.6,Moderada,agua
