data_amostragem,co2,pm25,pm10,o3,temperatura,umidade,qualidade,tipo
2025-05-10 00:00:00,448.2,10.3,28.6,0.064,24.6,43.4,Boa,ar
2025-05-10 06:00:00,538.7,16.7,27.2,0.05,24.8,55.2,Moderada,ar
2025-05-10 12:00:00,588.6,26.4,72.1,0.02,26.8,49.3,Ruim,ar
2025-05-10 18:00:00,545.1,16.2,13.9,0.026,23.3,68.1,Boa,ar
2025-05-11 00:00:00,506.2,13.5,37.7,0.015,22.7,60.4,Boa,ar
2025-05-11 06:00:00,580.3,29.3,52.0,0.012,28.7,42.1,Boa,ar
2025-05-11 12:00:00,521.7,21.3,12.1,0.01,25.1,57.9,Ruim,ar
2025-05-11 18:00:00,479.5,24.9,13.7,0.06,23.3,51.7,Boa,ar
2025-05-12 00:00:00,474.4,7.0,21.2,0.029,29.4,47.2,Boa,ar
2025-05-12 06:00:00,498.7,34.4,44.4,0.062,25.9,66.6,Moderada,ar
2025-05-12 12:00:00,407.9,7.0,20.7,0.015,22.3,46.9,Boa,ar
2025-05-12 18:00:00,451.3,18.9,52.5,0.074,25.9,50.3,Ruim,ar
2025-05-13 00:00:00,518.2,22.5,53.3,0.084,25.1,54.1,Moderada,ar
2025-05-13 06:00:00,482.4,17.1,59.1,0.088,23.8,54.4,Boa,ar
2025-05-13 12:00:00,454.1,12.1,66.8,0.031,25.9,55.5,Moderada,ar
2025-05-13 18:00:00,546.9,8.8,54.3,0.093,22.4,54.6,Moderada,ar
2025-05-14 00:00:00,452.4,26.6,71.4,0.011,23.4,75.1,Moderada,ar
2025-05-14 06:00:00,350.8,27.3,31.3,0.038,25.9,58.3,Boa,ar
2025-05-14 12:00:00,545.9,33.2,39.7,0.029,28.7,68.6,Moderada,ar
2025-05-14 18:00:00,414.6,28.5,18.6,0.013,26.2,67.7,Boa,ar
2025-05-15 00:00:00,491.3,24.0,47.2,0.078,29.3,77.0,Boa,ar
2025-05-15 06:00:00,558.6,32.8,64.7,0.017,27.3,74.2,Moderada,ar
2025-05-15 12:00:00,458.5,13.1,12.0,0.027,28.1,61.5,Boa,ar
2025-05-15 18:00:00,474.4,13.8,75.7,0.078,24.5,56.1,Boa,ar
2025-05-16 00:00:00,476.3,12.5,77.2,0.016,28.0,74.6,Boa,ar
2025-05-16 06:00:00,369.4,13.2,68.2,0.011,24.5,76.3,Boa,ar
2025-05-16 12:00:00,430.0,23.6,48.7,0.046,29.4,64.6,Moderada,ar
2025-05-16 18:00:00,563.4,18.6,42.2,0.048,23.2,47.6,Moderada,ar
2025-05-17 00:00:00,575.4,27.0,14.0,0.014,23.1,59.1,Boa,ar
2025-05-17 06:00:00,595.2,16.3,45.7,0.087,28.7,62.5,Moderada,ar
2025-05-17 12:00:00,540.0,15.3,44.3,0.083,23.9,53.7,Boa,ar
2025-05-17 18:00:00,403.1,20.2,10.4,0.028,26.9,43.5,Moderada,ar
2025-05-18 00:00:00,492.7,33.3,69.2,0.01,26.3,47.0,Moderada,ar
2025-05-18 06:00:00,382.3,21.5,45.8,0.08,25.6,78.4,Ruim,ar
2025-05-18 12:00:00,397.8,30.9,30.8,0.028,23.0,52.4,Boa,ar
2025-05-18 18:00:00,594.7,9.4,41.9,0.087,25.6,42.5,Moderada,ar
2025-05-19 00:00:00,454.1,12.1,68.6,0.038,26.9,46.2,Moderada,ar
2025-05-19 06:00:00,473.4,15.1,66.0,0.097,29.7,67.6,Moderada,ar
2025-05-19 12:00:00,362.1,30.0,35.4,0.015,28.5,75.0,Moderada,ar
2025-05-19 18:00:00,431.8,34.6,19.3,0.089,23.3,53.7,Boa,ar
2025-05-20 00:00:00,476.4,7.4,52.2,0.011,25.7,52.5,Moderada,ar
